Index,Name,Driver,Neurotransmitter,Birthtime
1,104198-F-000000,104198-Gal4,unknown,embryo
2,104198-F-000001,104198-Gal4,unknown,embryo
3,104198-F-000003,104198-Gal4,unknown,embryo
4,104198-F-000004,104198-Gal4,unknown,embryo
5,104198-F-000005,104198-Gal4,unknown,embryo
6,104198-F-000007,104198-Gal4,unknown,embryo
7,104198-F-000008,104198-Gal4,unknown,embryo
8,104198-F-000010,104198-Gal4,unknown,embryo
9,104198-F-000011,104198-Gal4,unknown,embryo
10,104198-F-000012,104198-Gal4,unknown,embryo
11,104198-F-000014,104198-Gal4,unknown,embryo
12,104198-F-000015,104198-Gal4,unknown,embryo
13,104198-F-100000,104198-Gal4,unknown,day 1
14,104198-F-100001,104198-Gal4,unknown,day 1
15,104198-F-100003,104198-Gal4,unknown,day 1
16,104198-F-100004,104198-Gal4,unknown,day 1
17,104198-F-100005,104198-Gal4,unknown,day 1
18,104198-F-100006,104198-Gal4,unknown,day 1
19,104198-F-100007,104198-Gal4,unknown,day 1
20,104198-F-100008,104198-Gal4,unknown,day 1
21,104198-F-100009,104198-Gal4,unknown,day 1
22,104198-F-100013,104198-Gal4,unknown,day 1
23,104198-F-100014,104198-Gal4,unknown,day 1
24,104198-F-100015,104198-Gal4,unknown,day 1
25,104198-F-100017,104198-Gal4,unknown,day 1
26,104198-F-100018,104198-Gal4,unknown,day 1
27,104198-F-100019,104198-Gal4,unknown,day 1
28,104198-F-100020,104198-Gal4,unknown,day 1
29,104198-F-100021,104198-Gal4,unknown,day 1
30,104198-F-100023,104198-Gal4,unknown,day 1
31,104198-F-100025,104198-Gal4,unknown,day 1
32,104198-F-100026,104198-Gal4,unknown,day 1
33,104198-F-100027,104198-Gal4,unknown,day 1
34,104198-F-100029,104198-Gal4,unknown,day 1
35,104198-F-100030,104198-Gal4,unknown,day 1
36,104198-F-100032,104198-Gal4,unknown,day 1
37,104198-F-100034,104198-Gal4,unknown,day 1
38,104198-F-100035,104198-Gal4,unknown,day 1
39,104198-F-200000,104198-Gal4,unknown,day 2
40,104198-F-200001,104198-Gal4,unknown,day 2
41,104198-F-200003,104198-Gal4,unknown,day 2
42,104198-F-200004,104198-Gal4,unknown,day 2
43,104198-F-200006,104198-Gal4,unknown,day 2
44,104198-F-200008,104198-Gal4,unknown,day 2
45,104198-F-300000,104198-Gal4,unknown,day 3
46,104198-F-300002,104198-Gal4,unknown,day 3
47,104198-F-300003,104198-Gal4,unknown,day 3
48,104198-F-300005,104198-Gal4,unknown,day 3
49,104198-F-300007,104198-Gal4,unknown,day 3
50,104198-F-300008,104198-Gal4,unknown,day 3
51,104198-F-300009,104198-Gal4,unknown,day 3
52,104198-F-300011,104198-Gal4,unknown,day 3
53,104198-F-300012,104198-Gal4,unknown,day 3
54,104198-F-300014,104198-Gal4,unknown,day 3
55,104198-F-300015,104198-Gal4,unknown,day 3
56,104198-F-300016,104198-Gal4,unknown,day 3
57,104198-F-300017,104198-Gal4,unknown,day 3
58,104198-F-300018,104198-Gal4,unknown,day 3
59,104198-F-300019,104198-Gal4,unknown,day 3
60,104198-F-300020,104198-Gal4,unknown,day 3
61,104198-F-300021,104198-Gal4,unknown,day 3
62,104198-F-300022,104198-Gal4,unknown,day 3
63,104198-F-300023,104198-Gal4,unknown,day 3
64,104198-F-300024,104198-Gal4,unknown,day 3
65,104198-F-300025,104198-Gal4,unknown,day 3
66,104198-F-300026,104198-Gal4,unknown,day 3
67,104198-F-300027,104198-Gal4,unknown,day 3
68,104198-F-300028,104198-Gal4,unknown,day 3
69,104198-F-300029,104198-Gal4,unknown,day 3
