"","ntwk_name","pvec_label"
"1","Ntwk1","well-balanced"
"2","Ntwk2","well-balanced"
"3","Ntwk3"," "
"4","Ntwk4"," "
"5","Ntwk5"," "
"6","Ntwk6"," "
"7","Ntwk7","well-balanced"
"8","Ntwk8"," "
"9","Ntwk9"," "
"10","Ntwk10"," "
"11","Ntwk11"," "
"12","Ntwk12","proximal"
"13","Ntwk13"," "
"14","Ntwk14","proximal"
"15","Ntwk15"," "
"16","Ntwk16"," "
"17","Ntwk17"," "
"18","Ntwk18"," "
"19","Ntwk19"," "
"20","Ntwk20","proximal"
"21","Ntwk21","well-balanced"
"22","Ntwk22","well-balanced"
"23","Ntwk23"," "
"24","Ntwk24"," "
"25","Ntwk25"," "
"26","Ntwk26","proximal"
"27","Ntwk27","proximal"
"28","Ntwk28"," "
"29","Ntwk29"," "
"30","Ntwk30","proximal"
"31","Ntwk31","proximal"
"32","Ntwk32"," "
"33","Ntwk33"," "
"34","Ntwk34","most-distant"
"35","Ntwk35","proximal"
"36","Ntwk36"," "
"37","Ntwk37","most-distant"
"38","Ntwk38"," "
"39","Ntwk39","most-distant"
"40","Ntwk40","most-distant"
"41","Ntwk41","well-balanced"
"42","Ntwk42","most-distant"
"43","Ntwk43","proximal"
"44","Ntwk44","well-balanced"
"45","Ntwk45","well-balanced"
"46","Ntwk46"," "
"47","Ntwk47","well-balanced"
"48","Ntwk48"," "
"49","Ntwk49"," "
"50","Ntwk50","well-balanced"
"51","Ntwk51","proximal"
"52","Ntwk52","most-distant"
"53","Ntwk53"," "
"54","Ntwk54"," "
