"","mode_com"
"Class #1",51
"Class #2",52
"Class #3",53
"Class #4",55
"Class #5",53
"Class #6",54
"Class #7",52
"Class #8",55
"Class #9",44
"Class #10",53
"Class #11",57
"Class #12",36
"Class #13",53
"Class #14",38
"Class #15",43
"Class #16",44
"Class #17",54
"Class #18",55
"Class #19",46
"Class #20",34
"Class #21",50
"Class #22",52
"Class #23",54
"Class #24",53
"Class #25",41
"Class #26",30
"Class #27",37
"Class #28",53
"Class #29",46
"Class #30",33
"Class #31",33
"Class #32",56
"Class #33",54
"Class #34",69
"Class #35",39
"Class #36",53
"Class #37",70
"Class #38",53
"Class #39",62
"Class #40",70
"Class #41",51
"Class #42",64
"Class #43",40
"Class #44",52
"Class #45",51
"Class #46",42
"Class #47",51
"Class #48",47
"Class #49",59
"Class #50",52
"Class #51",40
"Class #52",63
"Class #53",53
"Class #54",57
