"","Surface","Volume","N_bifs","N_branch","Width","Height","Depth","EucDistance","PathDistance","Branch_Order","Contraction","Fragmentation","Partition_asymmetry","Bif_ampl_local","Fractal_Dim","Bif_ampl_remote","Length"
"All Neurons",7563.57224489348,1890.89309041841,39.1052053591039,79.2104107182078,178.608946079508,275.17025186141,106.936604436635,308.205470607292,698.849964413574,15.6585218537228,0.776595501702174,341.664946189326,0.615842161613222,99.5521395947727,1.10856620085658,94.8744274763892,2407.55980996047
"Class #1",4960.20631513083,1240.05168259386,21.4118316268487,43.8236632536974,143.589230147895,246.064833105802,86.7358361774744,267.161459840728,564.00381331058,11.5449374288965,0.780757794084187,194.82252559727,0.616162612400455,102.554662002275,1.10458468714448,98.241112741752,1578.88256200228
"Class #2",4391.71027163462,1097.92745348558,18.6814903846154,38.3629807692308,142.901901802885,240.510304807692,86.4264182692308,265.211605288462,547.079745432692,10.5997596153846,0.779787015625,171.606971153846,0.620704564903846,102.436701442308,1.10217893028846,97.6122004807692,1397.92467307692
"Class #3",3799.7072270364,949.92696187175,20.1282495667244,41.2564991334489,146.170358405546,261.901137261698,69.2572963604853,265.780491161179,516.059249566724,10.8613518197574,0.777798622183709,187.837088388215,0.616848374350087,98.9807547660312,1.11281398613518,94.6076559792028,1209.48457365685
"Class #4",3806.19785714286,951.549504081633,20.534693877551,42.069387755102,145.837206938776,271.741593673469,67.392,271.161392653061,521.657610204082,11.165306122449,0.77506236122449,193.204081632653,0.619365514285714,98.1006155102041,1.11315783673469,93.6228691836735,1211.55030816327
"Class #5",4555.12405569007,1138.78080387409,23.1646489104116,47.3292978208232,124.191459079903,208.577756416465,73.2264648910412,227.791834624697,495.420014527845,11.636803874092,0.765841808716707,210.280871670702,0.602161910411622,100.149568765133,1.11373598062954,95.736399031477,1449.94101694915
"Class #6",5116.30297326203,1279.07570855615,26.3663101604278,53.7326203208556,128.518420320856,207.082536898396,77.4804545454545,228.196507219251,515.994211229946,12.2967914438503,0.767930639037433,237.737967914439,0.610077486631016,99.446578342246,1.11575013368984,95.7435117647059,1628.56959893048
"Class #7",5291.48233933162,1322.87076606684,23.547557840617,48.0951156812339,171.263461953728,246.747087403599,122.316889460154,276.355047043702,702.537205655527,12.1748071979434,0.76622688688946,234.691516709512,0.635764349614396,102.814148329049,1.10541935732648,95.5372958868895,1684.33133676093
"Class #8",7323.91978658537,1830.97983231707,40.6493902439024,82.2987804878049,147.917935060976,227.33795,90.4294207317073,251.491367073171,592.300606707317,16.9176829268293,0.781165350609756,345.771341463415,0.62180062195122,99.1264899390244,1.10933228658537,95.6265960365854,2331.27574695122
"Class #9",4569.40224438903,1142.3506882793,10.8802992518703,22.7605985037406,236.92742244389,293.514406483791,163.454763092269,332.626163591022,813.082571072319,7.85536159600997,0.749837152119701,153.154613466334,0.6252752319202,105.259893765586,1.09989236907731,95.0397349127182,1454.48605486284
"Class #10",7971.76397476341,1992.94088012618,45.5930599369085,92.186119873817,147.85554511041,190.20816214511,95.9148895899054,220.741544479495,568.385548895899,17.8895899053628,0.781126485804416,382.261829652997,0.623621268138801,99.0725223974763,1.11124400630915,95.7738678233438,2537.4910725552
"Class #11",6160.17700325733,1540.0441009772,33.2605863192182,67.5211726384365,159.974802931596,221.56444267101,103.612345276873,257.219419218241,635.912964169381,14.8045602605863,0.772212986970684,298.013029315961,0.635884983713355,101.609646254072,1.10746817589577,96.900132247557,1960.84504234528
"Class #12",7194.9723364486,1798.74329906542,32.1059190031153,65.2118380062305,248.797230529595,335.477145794393,121.75691588785,420.446804361371,781.327283489097,15.1246105919003,0.788553697819315,291.666666666667,0.613562037383178,98.2312803738318,1.10445816199377,94.2503797507788,2290.23108722741
"Class #13",9127.49782978723,2281.87450638298,49.6510638297872,100.302127659574,192.517714893617,273.857053191489,113.213659574468,299.392342978723,741.116825531915,19.7404255319149,0.783116961702128,433.51914893617,0.63194974893617,99.3106340425532,1.10589055319149,95.3464374468085,2905.3724
"Class #14",6355.39931914894,1588.84967659574,25.1106382978723,51.2212765957447,263.177053617021,317.236883829787,176.907106382979,393.283021276596,887.989374468085,12.6085106382979,0.79235870212766,239.629787234043,0.615460357446808,97.6797944680851,1.09847357446809,90.5126055319149,2022.98602553191
"Class #15",3865.82825503356,966.457167785235,26.758389261745,54.5167785234899,134.037108724832,227.681436241611,51.5332214765101,281.054409395973,582.859979865772,12.503355704698,0.770068966442953,253.463087248322,0.574779771812081,93.7971597315436,1.13121456375839,90.4768093959731,1230.53116778523
