"","AME_R","LO_R","NO","BU_R","PB","LH_R","LAL_R","SAD","CAN_R","AMMC_R","ICL_R","VES_R","IB_R","ATL_R","CRE_R","MB_PED_R","MB_VL_R","MB_ML_R","FLA_R","LOP_R","EB","AL_R","ME_R","FB","SLP_R","SIP_R","SMP_R","AVLP_R","PVLP_R","IVLP_R","PLP_R","AOTU_R","GOR_R","MB_CA_R","SPS_R","IPS_R","SCL_R","EPA_R","GNG","PRW","GA_R","AME_L","LO_L","BU_L","LH_L","LAL_L","CAN_L","AMMC_L","ICL_L","VES_L","IB_L","ATL_L","CRE_L","MB_PED_L","MB_VL_L","MB_ML_L","FLA_L","LOP_L","AL_L","ME_L","SLP_L","SIP_L","SMP_L","AVLP_L","PVLP_L","IVLP_L","PLP_L","AOTU_L","GOR_L","MB_CA_L","SPS_L","IPS_L","SCL_L","EPA_L","GA_L"
"Ntwk1",0.00494189522853448,0.113953506189555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213424095933638,0,0,0.665078809721322,0,4.26379618432435e-05,0,0,8.16117238405833e-05,0.000599596338420612,9.77119958907664e-06,0.000780474567177497,8.61642145582213e-05,0,0,0,0.000202863427832307,0,0,1.24360722042794e-05,0,0,0,1.51009448194821e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014656799383615,0,0.000544522304373089,0,0,0,0,0,0,7.99461784560816e-05,0,0,0,0,0,0,0,0
"Ntwk2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789371670430024,0,0,0,0,0,0,0,1.08207220072656e-06,0,0,0,0,4.67996226814236e-05,0,0,0,0,0,0.00663472569875489,0.127393171745688,0,0.00185900004084823,0,0,0,0,0,0,0,0,0,0,0,0,0.230138902903227,0,0.628413295312923,0.00194881203350853,0,0,0.00010063271466757,0.00136692770756782,0,0.00069793656946863,0.000315965082612155,0,0,1.9477299613078e-05,0.00027389952580891,0,0,0
"Ntwk3",2.39973701063942e-05,0.000988255332563327,0,0,0,0,0,3.43598708341554e-05,0,0,2.94513178578475e-05,1.63618432543597e-05,9.92618490764489e-05,0,0,0,0,0,0,0.000208340804105514,4.69039506624979e-05,0,0.000630476360067994,7.63552685203453e-05,0,0,5.78118461654043e-05,1.19986850531971e-05,0.00052139740503893,0,0.000436452168810045,1.09078955029065e-06,0.000199614487703189,0,0.000296694757679056,1.09078955029065e-06,0.00010035263862674,1.52710537040691e-05,0.00034673472829864,0.000113442113230227,0,0.00122863807970863,0.596591664431684,0,0.00366968874456531,2.83605283075568e-05,0,0,0.00104729431697281,0,0.000191978960851154,4.47223715619166e-05,6.54473730174389e-05,0.0026842967345715,0.000542122406494452,0.000513761878186895,0,0.0854266834666437,0,0.0762337818341817,0.00631962560830265,0.00279855693996444,9.27171117747051e-05,0.0131871002682388,0.091767579471177,0.000459358749366149,0.0560504937390725,0.0434826892380112,0.000274060874510525,0.000391593448554343,0.00908709504608381,0.00140411884861164,0.00215103699317316,9.81710595261583e-06,0
"Ntwk4",0.00117138112773454,0.603624374397395,2.76283943287697e-05,0,0.000104234396785813,0.00255531251638474,7.48792278114952e-05,0,0,0,0.000538125771358083,8.79085274097219e-06,5.65126247633926e-05,3.64192470697419e-05,0.000302656501510614,0.0047456476645059,0.000933086226648905,0.00105866983723422,0,0.0818269840876147,1.00466888468254e-05,0,0.0446597296373239,1.00466888468254e-05,0.00353125415014588,0.00229676725809222,0.00010297856067996,0.0139595601936374,0.103531756484588,0.000374239159544245,0.0567371054673139,0.0618887021530368,0.000313645067436829,0.000188375415877975,0.0056851700511973,0.000730896613606545,0.00226819698668406,7.25245351130205e-05,0.00189003333930902,0.000194654596407241,0,0,0.000794944255005056,0,6.15359691868053e-05,0,0,0,1.00466888468254e-05,0,5.52567886575395e-05,0,0,0,5.52567886575395e-05,0,0,0.00202315196652946,0,0.000396844209449602,6.53034775043648e-05,4.26984275990078e-05,4.14425914931546e-05,1.5070033270238e-05,0.000236097187900396,0,0.000189631251983829,6.02801330809521e-05,0.000118048593950198,0,0.000298888993193054,0,0,2.51167221170634e-05,0
"Ntwk5",0.00280409023573489,0.502176416371984,0,1.52773613635878e-05,0,0.000113885784710382,0,0,0,0,6.24982964874048e-05,8.19422109501529e-05,1.52773613635878e-05,0,7.49979557848857e-05,0.000240271228718245,6.38871475204582e-05,2.77770206610688e-06,0,0.0672523335735467,0,0,0.184789407649826,1.80550634296947e-05,0.000151384762602825,4.16655309916032e-06,2.2221616528855e-05,0.0145961299318751,0.201571415501348,0.0022643480030145,0.0064642335269681,0.000962473765906034,5.97205944212979e-05,9.02753171484736e-05,0.000234715824586031,0.000499986371899238,3.19435737602291e-05,0,0.0122928940999351,0.000226382718387711,0,0,0.000826366364666796,0,0,0,0,0,0,0,3.05547227271757e-05,0,0,0,2.63881696280153e-05,0,1.2499659297481e-05,6.9442551652672e-05,0,0.000549985009089162,0,1.38885103305344e-05,8.61087640493132e-05,0,0.00035137931136252,0,0.00012916314607397,0.000379156332023589,6.9442551652672e-06,0,0.000324991141734505,0,0,9.72195723137407e-06,0
"Ntwk6",0,0.000281464371000292,3.6827113962655e-05,0,8.02304982757841e-05,0,0,3.94576221028446e-06,0,0,0,0,0,0,0,0,2.36745732617068e-05,2.63050814018964e-06,0,0.000106535579677681,0.000122318628518818,0,0.000484013497794894,0,0,6.57627035047411e-05,0.000152569472130999,0.000203864380864697,0.000319606739033042,0,0.000205179634934792,0.000302508436121809,7.365422792531e-05,0,0.000102589817467396,4.19237234842724e-05,4.20881302430343e-05,0,0.00150859641839876,0,0,0.00419483844980867,0.41792987229705,0,7.365422792531e-05,0,0,1.84135569813275e-05,7.49694819954048e-05,0.000461654178603282,6.97084657150255e-05,0,0.000105220325607586,0.000578711790841722,0.000608962634453902,0.000595810093752954,0,0.0849787298755852,0,0.275354687031184,0.00029642538604762,0,0.000128894898869293,0.0375508325147247,0.150033662283856,0.00148804557355353,0.0144894964631996,0.00185401501855741,9.20677849066375e-05,0.000602386364103428,0.00181603705728342,0.00226667598304966,0.000176244045392706,0,0
"Ntwk7",0,0,3.88543692102437e-05,0,0.000497335925891119,3.88543692102437e-06,0,1.55417476840975e-05,0,0,0,0,0,0,5.82815538153655e-06,0,3.88543692102437e-06,0,0,0,0.00252747671712635,0,0,0.000883936899533043,0,0,0,0,0,0,1.94271846051218e-06,0,0,7.77087384204873e-06,0,0,0,0,0,0,0,0.000933719060083668,0.00500322855524156,0,0.390178489686958,0.000145703884538414,0,0.000180672816827633,0.00541144227175669,1.55417476840975e-05,6.79951461179264e-05,1.94271846051218e-06,0.0195175210135356,0.0512880101973292,0.0393174647232683,0.114950894148313,0,0,0.000149589321459438,0.00682185587408853,0.125531667403685,0.0124035288509476,0.0126067857698787,0.0327826455017204,0.0090414117152237,5.07535197808808e-05,0.0188640390913809,0.000474023304364973,1.35990292235853e-05,0.115336766602533,0.000250610681406072,0,0.0345745604417353,0,9.90786414861213e-05
"Ntwk8",7.06709327302747e-05,0.00723784384934818,9.24273769890642e-05,1.20035554531252e-06,1.32039109984377e-05,0,0.000364908085775007,0.0111823622156883,0,0.00600537879319855,0.000789233771042983,0.00028568461978438,0.000292886753056255,0,4.20124440859383e-05,1.20035554531252e-05,5.2815643993751e-05,0,0,0.00216334078153949,0.000110432710168752,6.72199105375012e-05,0.0758017024642699,0.00124071750052366,0.000206461153793754,0.000156046220890628,0.000136840532165627,0.0103854761780439,0.00679701327533215,0.00197938629422035,0.00252479784512172,0.000100829865806252,0.00128408034459807,0,0.00124446861160276,3.72110219046882e-05,0.00011883519898594,0.00014764373207344,0.0134823934849502,4.80142218125009e-06,2.5207466451563e-05,0.000386514485590632,0.107347646372856,2.40071109062504e-05,0.0013921123436762,0.000154095643129495,0,0.00564167106296885,0.00471979800416884,0.000247273242334379,0.000398518041043757,8.64255992625016e-05,1.80053331796878e-05,0.000926524436538103,6.25685327994152e-05,0,2.40071109062504e-05,0.0265860747953544,6.00177772656261e-06,0.040826942940499,0.0090628344115527,0.000961034658465838,0.000132039109984377,0.42128758538279,0.166559684978691,0.00534038182109541,0.0351791200553604,0.0068306232306009,0.00124116763385315,0.00016204799861719,0.00566657844053409,0.0116497506561444,0.00231728638022582,0.00030414008629356,0
"Ntwk9",0,0,0,0,0.00178801549560964,0.000254981083000671,3.14791460494655e-06,0.00131189341161148,0,0.000535145482840914,0.0188276772521853,0,0,7.86978651236639e-05,0.0657772496276607,0.122783228697964,0.124147456189882,0.294332769987782,0,0,0.0126829479433297,0,0,0,0.000443855959297464,0.0386988881959105,0.0100087944864276,0,4.40708044692518e-05,0,0.0139779213139396,0.000143230114525068,0,0.246439216720148,1.25916584197862e-05,0,0.0189201472437056,0,0.0234460614669676,0.00261906495131553,0.000179431132481954,0,0,0,0,0,0,0.000730316188347601,0,0,0,0,4.72187190741983e-05,0,0,0.00174394469114039,2.20354022346259e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ntwk10",0.0032275161024565,0.134734366808805,0,5.14587976685779e-05,3.38544721503802e-05,0.00329488650203575,4.60420821245171e-05,0.00213283174547395,0,0.00138312445970378,0.00187029031394775,1.62501466321825e-05,0,0,0.000384586803628319,0.00107792639326811,0.000151668035233703,0.00110636414987443,0,0.0120689500492498,9.61467009070798e-05,4.06253665804563e-06,0.0638070471130684,4.19795454664715e-05,0.003427765305226,0.000700110484069863,6.500058652873e-05,0.412135033978887,0.266737354804517,0.0122923895654423,0.0585602810192024,0.00388361577273087,0.000354794868135985,0.000877169373416351,0.0015491806456014,0.00671808145352145,0.00231547662272525,0.000177058889346488,0.00383232624742304,0,0,0,0,0,0,0,0,0.000659485117489407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000185522507384084,0,0,0,0,0,0,0,0,0,0,0
